"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Acte","Acte","","","",0,*,"","","","null {[]} {[]}
","Acte","Modèle logique métier de l'entrée Acte","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Acte.identifiant","Acte.identifiant","","","",1,*,"","","","Identifier {[]} {[]}
","Identifiant de l'acte","Identifiant de l'acte","","","","","","","","","",,,,,"",,,,"Acte.identifiant",1,*,"",""
"Acte.description","Acte.description","","","",1,1,"","","","Narrative {[]} {[]}
","Description narrative","Description narrative","","","","","","","","","",,,,,"",,,,"Acte.description",1,1,"",""
"Acte.code","Acte.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'acte","Code de l'acte","","","","","","","","","",,,,,"",,,,"Acte.code",1,1,"",""
"Acte.titre","Acte.titre","","","",0,1,"","","","string {[]} {[]}
","Titre de l'entrée","Titre de l'entrée","","","","","","","","","",,,,,"",,,,"Acte.titre",0,1,"",""
"Acte.statut","Acte.statut","","","",1,1,"","","","code {[]} {[]}
","Statut de l'acte","Statut de l'acte","","","","","","","","","",,,,,"",,,,"Acte.statut",1,1,"",""
"Acte.date","Acte.date","","","",0,1,"","","","dateTime {[]} {[]}
","Date de l'acte","Date de l'acte","","","","","","","","","",,,,,"",,,,"Acte.date",0,1,"",""
"Acte.priorite","Acte.priorite","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Priorité","Priorité","","","","","","","","","",,,,,"",,,,"Acte.priorite",0,1,"",""
"Acte.localisationAnatomique","Acte.localisationAnatomique","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Localisation anatomique","Localisation anatomique","","","","","","","","","",,"","SNOMED CT (2.16.840.1.113883.6.96)","","",,,,"Acte.localisationAnatomique",0,1,"",""
"Acte.voieDAbord","Acte.voieDAbord","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Voie d’abord","Voie d’abord","","","","","","","","","",,"","SNOMED CT (2.16.840.1.113883.6.96)","","",,,,"Acte.voieDAbord",0,1,"",""
"Acte.perfomer","Acte.perfomer","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/PersonneStructure {[]} {[]}
","Intervenant","Intervenant","","","","","","","","","",,,,,"",,,,"Acte.perfomer",0,*,"",""
"Acte.auteur","Acte.auteur","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/Auteur {[]} {[]}
","Auteur: Si différent de celui de l’entête","Auteur: Si différent de celui de l’entête","","","","","","","","","",,,,,"",,,,"Acte.auteur",0,*,"",""
"Acte.informateur","Acte.informateur","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/Informateur {[]} {[]}
","Informateur: Si différent de celui de l’entête","Informateur: Si différent de celui de l’entête","","","","","","","","","",,,,,"",,,,"Acte.informateur",0,*,"",""
"Acte.participant","Acte.participant","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/ParticipantCorps {[]} {[]}
","Participant: Si différent de celui de l’entête","Participant: Si différent de celui de l’entête","","","","","","","","","",,,,,"",,,,"Acte.participant",0,*,"",""
"Acte.circonstances","Acte.circonstances","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/Rencontre {[]} {[]}
","Circonstances ayant décidé de l’acte. Réference interne à une Rencontre","Circonstances ayant décidé de l’acte. Réference interne à une Rencontre","","","","","","","","","",,,,,"",,,,"Acte.circonstances",0,*,"",""
"Acte.reason","Acte.reason","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/ReferenceInterne {[]} {[]}
","Motif de l'acte","Motif de l'acte","","","","","","","","","",,,,,"",,,,"Acte.reason",0,*,"",""
"Acte.dispositifMedical","Acte.dispositifMedical","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/DispositifMedical {[]} {[]}
","Réference interne à un DispositifMedical","Réference interne à un DispositifMedical","","","","","","","","","",,,,,"",,,,"Acte.dispositifMedical",0,*,"",""
"Acte.difficulte","Acte.difficulte","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/SimpleObservation {[]} {[]}
","Difficulté","Difficulté","","","","","","","","","",,,,,"",,,,"Acte.difficulte",0,1,"",""
"Acte.scores","Acte.scores","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/SimpleObservation {[]} {[]}
","Scores","Scores","","","","","","","","","",,,,,"",,,,"Acte.scores",0,*,"",""
