"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"FrImageIllustrative","FrImageIllustrative","","","",0,*,"","","","null {[]} {[]}
","Image illustrative","Entrée Image illustrative.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"FrImageIllustrative.identifiant","FrImageIllustrative.identifiant","","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/StructureDefinition/elementdefinition-identifier]]} {[]}
","Identifiant de l’entrée","Identifiant de l’entrée","","","","","","","","","",,,,,"",,,,"FrImageIllustrative.identifiant",0,*,"",""
"FrImageIllustrative.langue","FrImageIllustrative.langue","","","",0,1,"","","","Narrative {[]} {[]}
","Langue","Langue","","","","","","","","","",,,,,"",,,,"FrImageIllustrative.langue",0,1,"",""
"FrImageIllustrative.imageEncodee","FrImageIllustrative.imageEncodee","","","",1,1,"","","","Base {[]} {[]}
","Image encodée en Base64","Image encodée en Base64","","","","","","","","","",,,,,"",,,,"FrImageIllustrative.imageEncodee",1,1,"",""
"FrImageIllustrative.imageEncodee.mediaType","FrImageIllustrative.imageEncodee.mediaType","","","",1,1,"","","","CodeableConcept {[]} {[]}
","'image/gif' ou 'image/jpeg' ou 'image/png' ou 'mage/bm'","'image/gif' ou 'image/jpeg' ou 'image/png' ou 'mage/bm'","","","","","","","","","",,,,,"",,,,"FrImageIllustrative.imageEncodee.mediaType",1,1,"",""
"FrImageIllustrative.imageEncodee.representation","FrImageIllustrative.imageEncodee.representation","","","",1,1,"","","","base64Binary {[]} {[]}
","B64","B64","","","","","","","","","",,,,,"",,,,"FrImageIllustrative.imageEncodee.representation",1,1,"",""
"FrImageIllustrative.subject","FrImageIllustrative.subject","","","",0,*,"","","","Base {[]} {[]}
","Subject","Subject","","","","","","","","","",,,,,"",,,,"FrImageIllustrative.subject",0,*,"",""
"FrImageIllustrative.specimen","FrImageIllustrative.specimen","","","",0,*,"","","","Base {[]} {[]}
","Specimen","Specimen","","","","","","","","","",,,,,"",,,,"FrImageIllustrative.specimen",0,*,"",""
"FrImageIllustrative.performer","FrImageIllustrative.performer","","","",0,*,"","","","Base {[]} {[]}
","Performer","Performer","","","","","","","","","",,,,,"",,,,"FrImageIllustrative.performer",0,*,"",""
"FrImageIllustrative.auteur","FrImageIllustrative.auteur","","","",0,*,"","","","Base {[]} {[]}
","Auteur","Auteur","","","","","","","","","",,,,,"",,,,"FrImageIllustrative.auteur",0,*,"",""
"FrImageIllustrative.informant","FrImageIllustrative.informant","","","",0,*,"","","","Base {[]} {[]}
","Informant","Informant","","","","","","","","","",,,,,"",,,,"FrImageIllustrative.informant",0,*,"",""
"FrImageIllustrative.participant","FrImageIllustrative.participant","","","",0,*,"","","","Base {[]} {[]}
","Participant","Participant","","","","","","","","","",,,,,"",,,,"FrImageIllustrative.participant",0,*,"",""
"FrImageIllustrative.entryRelationship","FrImageIllustrative.entryRelationship","","","",0,*,"","","","Base {[]} {[]}
","entryRelationship","entryRelationship","","","","","","","","","",,,,,"",,,,"FrImageIllustrative.entryRelationship",0,*,"",""
"FrImageIllustrative.reference","FrImageIllustrative.reference","","","",0,*,"","","","Base {[]} {[]}
","Reference","Reference","","","","","","","","","",,,,,"",,,,"FrImageIllustrative.reference",0,*,"",""
"FrImageIllustrative.precondition","FrImageIllustrative.precondition","","","",0,*,"","","","Base {[]} {[]}
","Precondition","Precondition","","","","","","","","","",,,,,"",,,,"FrImageIllustrative.precondition",0,*,"",""
