"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"SimpleObservation","SimpleObservation","","","",0,*,"","","","null {[]} {[]}
","Simple observation","Modèle logique métier de l'entrée Simple observation","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"SimpleObservation.observationIdentifiant","SimpleObservation.observationIdentifiant","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'observation","Identifiant de l'observation","","","","","","","","","",,,,,"",,,,"SimpleObservation.observationIdentifiant",1,1,"",""
"SimpleObservation.observationCode","SimpleObservation.observationCode","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'observation","Code de l'observation","","","","","","","","","",,,,,"",,,,"SimpleObservation.observationCode",1,1,"",""
"SimpleObservation.observationDescription","SimpleObservation.observationDescription","","","",1,1,"","","","Narrative {[]} {[]}
","Description narrative de l'observation","Description narrative de l'observation","","","","","","","","","",,,,,"",,,,"SimpleObservation.observationDescription",1,1,"",""
"SimpleObservation.observationStatut","SimpleObservation.observationStatut","","","",1,1,"","","","code {[]} {[]}
","Statut de l'observation","Statut de l'observation","","","","","","","","","",,,,,"",,,,"SimpleObservation.observationStatut",1,1,"",""
"SimpleObservation.observationDate","SimpleObservation.observationDate","","","",0,1,"","","","dateTime {[]} {[]}
","Date de l'observation","Date de l'observation","","","","","","","","","",,,,,"",,,,"SimpleObservation.observationDate",0,1,"",""
"SimpleObservation.observationNombreRenouvellements","SimpleObservation.observationNombreRenouvellements","","","",0,1,"","","","Range {[]} {[]}
","Nombre de renouvellements possibles","Nombre de renouvellements possibles","","","","","","","","","",,,,,"",,,,"SimpleObservation.observationNombreRenouvellements",0,1,"",""
"SimpleObservation.observationResultat","SimpleObservation.observationResultat","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Valeur de l'observation","Valeur de l'observation","","","","","","","","","",,,,,"",,,,"SimpleObservation.observationResultat",0,*,"",""
"SimpleObservation.observationInterpretation","SimpleObservation.observationInterpretation","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Interprétation","Interprétation","","","","","","","","","",,,,,"",,,,"SimpleObservation.observationInterpretation",0,1,"",""
"SimpleObservation.observationMethode","SimpleObservation.observationMethode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Méthode","Méthode","","","","","","","","","",,,,,"",,,,"SimpleObservation.observationMethode",0,1,"",""
"SimpleObservation.observationLocalisationAnatomique","SimpleObservation.observationLocalisationAnatomique","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Localisation anatomique","Localisation anatomique","","","","","","","","","",,"","SNOMED CT (2.16.840.1.113883.6.96)","","",,,,"SimpleObservation.observationLocalisationAnatomique",0,1,"",""
"SimpleObservation.observationAuteur","SimpleObservation.observationAuteur","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/Auteur {[]} {[]}
","Auteur de l'observation","Auteur de l'observation","","","","","","","","","",,,,,"",,,,"SimpleObservation.observationAuteur",0,1,"",""
